"Name","Status","StartType","DisplayName"
"AJRouter","Stopped","Manual","AllJoyn Router Service"
"ALG","Stopped","Manual","Application Layer Gateway Service"
"AppIDSvc","Stopped","Manual","Application Identity"
"Appinfo","Stopped","Manual","Application Information"
"AppMgmt","Stopped","Manual","Application Management"
"AppReadiness","Stopped","Manual","App Readiness"
"AppVClient","Stopped","Disabled","Microsoft App-V Client"
"AppXSvc","Stopped","Manual","AppX Deployment Service (AppXSVC)"
"AudioEndpointBuilder","Stopped","Manual","Windows Audio Endpoint Builder"
"Audiosrv","Stopped","Manual","Windows Audio"
"AxInstSV","Stopped","Manual","ActiveX Installer (AxInstSV)"
"BITS","Stopped","Manual","Background Intelligent Transfer Service"
"BTAGService","Stopped","Manual","Bluetooth Audio Gateway Service"
"BthAvctpSvc","Stopped","Manual","AVCTP service"
"bthserv","Stopped","Manual","Bluetooth Support Service"
"camsvc","Stopped","Manual","Capability Access Manager Service"
"CaptureService_3cd0e","Stopped","Manual","CaptureService_3cd0e"
"cbdhsvc_3cd0e","Stopped","Manual","Clipboard User Service_3cd0e"
"CertPropSvc","Stopped","Manual","Certificate Propagation"
"ClipSVC","Stopped","Manual","Client License Service (ClipSVC)"
"ConsentUxUserSvc_3cd0e","Stopped","Manual","ConsentUX_3cd0e"
"CscService","Stopped","Disabled","Offline Files"
"defragsvc","Stopped","Manual","Optimize drives"
"DeviceAssociationService","Stopped","Manual","Device Association Service"
"DeviceInstall","Stopped","Manual","Device Install Service"
"DevicePickerUserSvc_3cd0e","Stopped","Manual","DevicePicker_3cd0e"
"DevicesFlowUserSvc_3cd0e","Stopped","Manual","DevicesFlow_3cd0e"
"DevQueryBroker","Stopped","Manual","DevQuery Background Discovery Broker"
"diagnosticshub.standardcollector.service","Stopped","Manual","Microsoft (R) Diagnostics Hub Standard Collector Service"
"DmEnrollmentSvc","Stopped","Manual","Device Management Enrollment Service"
"dmwappushservice","Stopped","Manual","Device Management Wireless Application Protocol (WAP) Push message Routing Service"
"DoSvc","Stopped","Manual","Delivery Optimization"
"dot3svc","Stopped","Manual","Wired AutoConfig"
"DsmSvc","Stopped","Manual","Device Setup Manager"
"DsSvc","Stopped","Manual","Data Sharing Service"
"Eaphost","Stopped","Manual","Extensible Authentication Protocol"
"edgeupdate","Stopped","Automatic","Microsoft Edge Update Service (edgeupdate)"
"edgeupdatem","Stopped","Manual","Microsoft Edge Update Service (edgeupdatem)"
"EFS","Stopped","Manual","Encrypting File System (EFS)"
"embeddedmode","Stopped","Manual","Embedded Mode"
"EntAppSvc","Stopped","Manual","Enterprise App Management Service"
"FrameServer","Stopped","Manual","Windows Camera Frame Server"
"GraphicsPerfSvc","Stopped","Manual","GraphicsPerfSvc"
"hidserv","Stopped","Manual","Human Interface Device Service"
"HvHost","Stopped","Manual","HV Host Service"
"icssvc","Stopped","Manual","Windows Mobile Hotspot Service"
"IKEEXT","Stopped","Manual","IKE and AuthIP IPsec Keying Modules"
"InstallService","Stopped","Manual","Microsoft Store Install Service"
"KPSSVC","Stopped","Manual","KDC Proxy Server service (KPS)"
"KtmRm","Stopped","Manual","KtmRm for Distributed Transaction Coordinator"
"LicenseManager","Stopped","Manual","Windows License Manager Service"
"lltdsvc","Stopped","Manual","Link-Layer Topology Discovery Mapper"
"MapsBroker","Stopped","Automatic","Downloaded Maps Manager"
"MicrosoftEdgeElevationService","Stopped","Manual","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)"
"MSiSCSI","Stopped","Manual","Microsoft iSCSI Initiator Service"
"msiserver","Stopped","Manual","Windows Installer"
"NcaSvc","Stopped","Manual","Network Connectivity Assistant"
"Netlogon","Stopped","Manual","Netlogon"
"Netman","Stopped","Manual","Network Connections"
"NetSetupSvc","Stopped","Manual","Network Setup Service"
"NetTcpPortSharing","Stopped","Disabled","Net.Tcp Port Sharing Service"
"NgcCtnrSvc","Stopped","Manual","Microsoft Passport Container"
"NgcSvc","Stopped","Manual","Microsoft Passport"
"PerfHost","Stopped","Manual","Performance Counter DLL Host"
"PhoneSvc","Stopped","Manual","Phone Service"
"PimIndexMaintenanceSvc_3cd0e","Stopped","Manual","Contact Data_3cd0e"
"pla","Stopped","Manual","Performance Logs & Alerts"
"PolicyAgent","Stopped","Manual","IPsec Policy Agent"
"PrintNotify","Stopped","Manual","Printer Extensions and Notifications"
"PrintWorkflowUserSvc_3cd0e","Stopped","Manual","PrintWorkflow_3cd0e"
"PushToInstall","Stopped","Manual","Windows PushToInstall Service"
"QWAVE","Stopped","Manual","Quality Windows Audio Video Experience"
"RasAuto","Stopped","Manual","Remote Access Auto Connection Manager"
"RasMan","Stopped","Manual","Remote Access Connection Manager"
"RemoteAccess","Stopped","Disabled","Routing and Remote Access"
"RemoteRegistry","Stopped","Automatic","Remote Registry"
"RmSvc","Stopped","Manual","Radio Management Service"
"RpcLocator","Stopped","Manual","Remote Procedure Call (RPC) Locator"
"RSoPProv","Stopped","Manual","Resultant Set of Policy Provider"
"sacsvr","Stopped","Manual","Special Administration Console Helper"
"SCardSvr","Stopped","Manual","Smart Card"
"ScDeviceEnum","Stopped","Manual","Smart Card Device Enumeration Service"
"SCPolicySvc","Stopped","Manual","Smart Card Removal Policy"
"seclogon","Stopped","Manual","Secondary Logon"
"SecurityHealthService","Stopped","Manual","Windows Security Service"
"SEMgrSvc","Stopped","Manual","Payments and NFC/SE Manager"
"Sense","Stopped","Manual","Windows Defender Advanced Threat Protection Service"
"SensorDataService","Stopped","Manual","Sensor Data Service"
"SensorService","Stopped","Manual","Sensor Service"
"SensrSvc","Stopped","Manual","Sensor Monitoring Service"
"SessionEnv","Stopped","Manual","Remote Desktop Configuration"
"SgrmBroker","Stopped","Manual","System Guard Runtime Monitor Broker"
"SharedAccess","Stopped","Manual","Internet Connection Sharing (ICS)"
"shpamsvc","Stopped","Disabled","Shared PC Account Manager"
"smphost","Stopped","Manual","Microsoft Storage Spaces SMP"
"SNMPTRAP","Stopped","Manual","SNMP Trap"
"sppsvc","Stopped","Automatic","Software Protection"
"SSDPSRV","Stopped","Disabled","SSDP Discovery"
"ssh-agent","Stopped","Disabled","OpenSSH Authentication Agent"
"SstpSvc","Stopped","Manual","Secure Socket Tunneling Protocol Service"
"stisvc","Stopped","Manual","Windows Image Acquisition (WIA)"
"svsvc","Stopped","Manual","Spot Verifier"
"swprv","Stopped","Manual","Microsoft Software Shadow Copy Provider"
"tapisrv","Stopped","Manual","Telephony"
"TermService","Stopped","Manual","Remote Desktop Services"
"TieringEngineService","Stopped","Manual","Storage Tiers Management"
"TrustedInstaller","Stopped","Manual","Windows Modules Installer"
"tzautoupdate","Stopped","Disabled","Auto Time Zone Updater"
"UevAgentService","Stopped","Disabled","User Experience Virtualization Service"
"UmRdpService","Stopped","Manual","Remote Desktop Services UserMode Port Redirector"
"UnistoreSvc_3cd0e","Stopped","Manual","User Data Storage_3cd0e"
"upnphost","Stopped","Disabled","UPnP Device Host"
"UserDataSvc_3cd0e","Stopped","Manual","User Data Access_3cd0e"
"VaultSvc","Stopped","Manual","Credential Manager"
"vds","Stopped","Manual","Virtual Disk"
"vmicguestinterface","Stopped","Manual","Hyper-V Guest Service Interface"
"vmicheartbeat","Stopped","Manual","Hyper-V Heartbeat Service"
"vmickvpexchange","Stopped","Manual","Hyper-V Data Exchange Service"
"vmicrdv","Stopped","Manual","Hyper-V Remote Desktop Virtualization Service"
"vmicshutdown","Stopped","Manual","Hyper-V Guest Shutdown Service"
"vmictimesync","Stopped","Manual","Hyper-V Time Synchronization Service"
"vmicvmsession","Stopped","Manual","Hyper-V PowerShell Direct Service"
"vmicvss","Stopped","Manual","Hyper-V Volume Shadow Copy Requestor"
"vmvss","Stopped","Manual","VMware Snapshot Provider"
"VSS","Stopped","Manual","Volume Shadow Copy"
"WaaSMedicSvc","Stopped","Manual","Windows Update Medic Service"
"WalletService","Stopped","Manual","WalletService"
"WarpJITSvc","Stopped","Manual","WarpJITSvc"
"WbioSrvc","Stopped","Manual","Windows Biometric Service"
"WdiServiceHost","Stopped","Manual","Diagnostic Service Host"
"Wecsvc","Stopped","Manual","Windows Event Collector"
"WEPHOSTSVC","Stopped","Manual","Windows Encryption Provider Host Service"
"wercplsupport","Stopped","Manual","Problem Reports and Solutions Control Panel Support"
"WerSvc","Stopped","Manual","Windows Error Reporting Service"
"WiaRpc","Stopped","Manual","Still Image Acquisition Events"
"wisvc","Stopped","Manual","Windows Insider Service"
"wlidsvc","Stopped","Manual","Microsoft Account Sign-in Assistant"
"wmiApSrv","Stopped","Manual","WMI Performance Adapter"
"WMPNetworkSvc","Stopped","Manual","Windows Media Player Network Sharing Service"
"WPDBusEnum","Stopped","Manual","Portable Device Enumerator Service"
"WSearch","Stopped","Disabled","Windows Search"
"wuauserv","Stopped","Manual","Windows Update"
"BFE","Running","Automatic","Base Filtering Engine"
"BrokerInfrastructure","Running","Automatic","Background Tasks Infrastructure Service"
"CDPSvc","Running","Automatic","Connected Devices Platform Service"
"CDPUserSvc_3cd0e","Running","Automatic","Connected Devices Platform User Service_3cd0e"
"COMSysApp","Running","Manual","COM+ System Application"
"CoreMessagingRegistrar","Running","Automatic","CoreMessaging"
"CryptSvc","Running","Automatic","Cryptographic Services"
"DcomLaunch","Running","Automatic","DCOM Server Process Launcher"
"Dhcp","Running","Automatic","DHCP Client"
"DiagTrack","Running","Automatic","Connected User Experiences and Telemetry"
"Dnscache","Running","Automatic","DNS Client"
"DPS","Running","Automatic","Diagnostic Policy Service"
"EventLog","Running","Automatic","Windows Event Log"
"EventSystem","Running","Automatic","COM+ Event System"
"fdPHost","Running","Manual","Function Discovery Provider Host"
"FDResPub","Running","Manual","Function Discovery Resource Publication"
"FontCache","Running","Automatic","Windows Font Cache Service"
"gpsvc","Running","Automatic","Group Policy Client"
"iphlpsvc","Running","Automatic","IP Helper"
"KeyIso","Running","Manual","CNG Key Isolation"
"LanmanServer","Running","Automatic","Server"
"LanmanWorkstation","Running","Automatic","Workstation"
"lfsvc","Running","Manual","Geolocation Service"
"lmhosts","Running","Manual","TCP/IP NetBIOS Helper"
"LSM","Running","Automatic","Local Session Manager"
"mpssvc","Running","Automatic","Windows Defender Firewall"
"MSDTC","Running","Automatic","Distributed Transaction Coordinator"
"NcbService","Running","Manual","Network Connection Broker"
"netprofm","Running","Manual","Network List Service"
"NlaSvc","Running","Automatic","Network Location Awareness"
"nsi","Running","Automatic","Network Store Interface Service"
"PcaSvc","Running","Manual","Program Compatibility Assistant Service"
"PlugPlay","Running","Manual","Plug and Play"
"Power","Running","Automatic","Power"
"ProfSvc","Running","Automatic","User Profile Service"
"RpcEptMapper","Running","Automatic","RPC Endpoint Mapper"
"RpcSs","Running","Automatic","Remote Procedure Call (RPC)"
"SamSs","Running","Automatic","Security Accounts Manager"
"Schedule","Running","Automatic","Task Scheduler"
"SENS","Running","Automatic","System Event Notification Service"
"ShellHWDetection","Running","Automatic","Shell Hardware Detection"
"Spooler","Running","Automatic","Print Spooler"
"StateRepository","Running","Manual","State Repository Service"
"StorSvc","Running","Manual","Storage Service"
"SysMain","Running","Automatic","SysMain"
"SystemEventsBroker","Running","Automatic","System Events Broker"
"TabletInputService","Running","Manual","Touch Keyboard and Handwriting Panel Service"
"Themes","Running","Automatic","Themes"
"TimeBrokerSvc","Running","Manual","Time Broker"
"TokenBroker","Running","Manual","Web Account Manager"
"TrkWks","Running","Automatic","Distributed Link Tracking Client"
"UALSVC","Running","Automatic","User Access Logging Service"
"UserManager","Running","Automatic","User Manager"
"UsoSvc","Running","Automatic","Update Orchestrator Service"
"VGAuthService","Running","Automatic","VMware Alias Manager and Ticket Service"
"VM3DService","Running","Automatic","VMware SVGA Helper Service"
"VMTools","Running","Automatic","VMware Tools"
"W32Time","Running","Automatic","Windows Time"
"Wcmsvc","Running","Automatic","Windows Connection Manager"
"WdiSystemHost","Running","Manual","Diagnostic System Host"
"WdNisSvc","Running","Manual","Windows Defender Antivirus Network Inspection Service"
"WinDefend","Running","Automatic","Windows Defender Antivirus Service"
"WinHttpAutoProxySvc","Running","Manual","WinHTTP Web Proxy Auto-Discovery Service"
"Winmgmt","Running","Automatic","Windows Management Instrumentation"
"WinRM","Running","Automatic","Windows Remote Management (WS-Management)"
"WLMS","Running","Automatic","Windows Licensing Monitoring Service"
"WpnService","Running","Automatic","Windows Push Notifications System Service"
"WpnUserService_3cd0e","Running","Automatic","Windows Push Notifications User Service_3cd0e"
